,tract,count_311,count_crime,homeless_2016,homeless_2017,count_shelter,count_population
1,101110,2,0,6,1,0,4731
2,101122,4,0,6,0,0,3664
3,101210,8,0,19,5,0,5990
4,101220,2,0,39,34,1,3363
5,101300,22,1,33,20,0,4199
6,101400,11,0,17,12,0,3903
7,102103,3,0,20,8,0,1740
8,102104,5,0,28,0,0,3648
9,102105,7,0,10,10,0,1731
10,102107,23,0,0,5,0,3851
11,103101,3,0,23,7,0,2670
12,103102,42,1,2,12,0,4751
13,103200,121,3,65,55,0,6150
14,103300,2,0,0,15,0,3819
15,103400,113,2,17,18,0,6143
16,104103,4,0,10,33,0,4085
17,104105,4,0,5,15,0,5412
18,104108,14,3,6,6,0,5256
19,104124,3,0,31,0,0,4175
20,104201,29,0,10,24,0,4780
21,104203,0,5,8,2,0,5210
22,104204,12,5,1,17,0,3375
23,104310,16,3,5,6,0,4921
24,104320,36,2,121,3,0,5998
25,104401,8,1,6,2,0,3357
26,104403,12,3,4,20,0,3282
27,104404,4,0,7,14,0,3236
28,104500,2,0,31,23,0,3293
29,104610,0,1,6,3,0,3672
30,104620,0,0,0,19,0,3539
31,104701,0,1,46,2,0,4208
32,104703,37,2,12,62,0,2397
33,104704,7,1,13,9,0,4219
34,104810,4,0,5,0,0,5328
35,104821,4,0,38,3,0,3514
36,104822,15,2,14,26,0,2277
37,106010,3,1,8,0,0,3152
38,106020,10,0,0,43,0,5557
39,106111,1,0,0,2,0,4334
40,106112,29,2,8,183,0,5969
41,106113,6,0,25,50,0,3493
42,106114,7,3,3,22,0,5880
43,106403,7,0,11,4,0,3825
44,106405,5,0,4,3,0,3966
45,106406,17,1,4,9,0,4962
46,106407,4,0,52,0,0,2933
47,106408,1,0,10,2,0,3463
48,106510,9,0,21,12,0,5108
49,106520,37,2,11,44,0,5837
50,106603,0,0,18,0,0,2979
51,106604,13,0,13,15,0,5020
52,106641,0,0,0,0,0,2317
53,106642,2,2,0,4,0,3236
54,106643,1,1,0,2,0,4320
55,106645,0,1,0,0,0,3389
56,106646,29,0,14,3,0,3237
57,106648,10,0,0,0,0,3890
58,106649,13,0,6,0,0,2853
59,107010,3,0,33,4,0,3247
60,107020,9,1,28,2,0,5404
61,108101,0,0,0,0,0,2230
62,108102,3,1,8,0,0,3430
63,108103,0,0,0,0,0,3256
64,108104,0,0,0,0,0,1698
65,108201,1,0,0,5,0,5551
66,108202,2,0,0,0,0,4895
67,109100,20,0,19,35,0,2492
68,109200,1,0,0,0,0,2669
69,109300,3,0,2,55,0,3085
70,109400,16,2,19,25,0,3720
71,109500,25,4,0,81,0,4303
72,109601,17,1,0,4,0,5020
73,109603,16,1,13,50,0,4252
74,109604,42,0,0,34,0,2975
75,109700,24,3,0,13,0,4493
76,109800,15,0,48,5,0,4565
77,111100,5,0,1,0,0,2982
78,111201,2,1,1,2,0,3410
79,111202,17,2,34,4,0,5213
80,111204,4,0,2,3,0,5859
81,111205,1,4,5,2,0,3375
82,111206,5,0,19,0,0,4490
83,111301,30,0,34,11,0,7087
84,111302,7,0,2,0,0,4786
85,111400,50,2,1,2,0,7560
86,113101,19,0,1,3,0,3558
